code,old_title,reviewed_title,decision,source
2022_article_performance_of_a_prototype_bakelite_rpc_at_gif_using_self_tr,Performance of a prototype bakelite RPC at GIF++ using self-triggered electronics for the CBM experiment at FAIR,Performance of a prototype bakelite RPC at GIF++ using self-triggered electronics for the CBM experiment at FAIR,verified,DOI 10.1016/j.nima.2021.166042
2023_article_development_and_performance_studies_of_a_real_size_resistive,"Development and performance studies of a real size Resistive Plate Chamber tested at GIF++, CERN for CBM-MuCh at FAIR, Germany","Development and performance studies of a real size Resistive Plate Chamber tested at GIF++, CERN for CBM-MuCh at FAIR, Germany",verified,DOI 10.1016/j.nima.2023.168384
1975_article_some_recent_developments_in_cosmic_rays,Some recent developments in cosmic rays,Some recent developments in cosmic rays,verified,https://doi.org/10.1016/0370-1573(75)90045-9
1999_article_measurements_of_ground_level_muons_at_two_geomagnetic_locati,Measurements of Ground-Level Muons at Two Geomagnetic Locations,Measurements of Ground-Level Muons at Two Geomagnetic Locations,verified,manual verification
2000_article_a_new_high_resolution_tof_technology,A new high-resolution TOF technology,A New High-Resolution TOF Technology,corrected,manual verification
2000_article_coronal_mass_ejections_and_forbush_decreases,Coronal mass ejections and forbush decreases,Coronal Mass Ejections and Forbush Decreases,corrected,https://doi.org/10.1023/a:1026532125747
2000_article_introduccio_n_a_r_notas_sobre_r_un_entorno_de_programacio_n,Introducción a r,"Introducción a R: Notas sobre R, un entorno de programación para análisis de datos y gráficos",corrected,manual verification
2000_article_muon_observations,Muon observations,Muon Observations,corrected,https://doi.org/10.1023/a:1026596529381
2000_book_aprenda_linux_como_si_estuviera_en_primero,Aprenda LINUX como si estuviera en primero,Aprenda Linux como si estuviera en primero,corrected,manual verification
2001_article_an_accurate_measurement_of_the_sea_level_muon_spectrum_withi,An Accurate Measurement of the Sea-Level Muon Spectrum Within the Range 4 to 3000 GeV/c,An Accurate Measurement of the Sea-Level Muon Spectrum Within the Range 4 to 3000 GeV/c,verified,manual verification
2001_article_the_day_night_variation_of_cosmic_rays_intensity,The day night variation of cosmic rays intensity,The day-night variation of cosmic ray intensity,corrected,manual verification
2002_article_a_oximati_ns_to_multiple_coulomb_scattering,Approximations to Multiple Coulomb Scattering,Approximations to Multiple Coulomb Scattering,verified,manual verification
2002_article_measurements_the_best_fit_differential_and_integral_intensit,The absolute cosmic ray muon spectrum at sea level,The Absolute Cosmic-Ray Muon Spectrum at Sea Level,corrected,manual verification
2002_book_a_thin_cosmic_rain,A thin cosmic rain,A Thin Cosmic Rain,corrected,manual verification
2003_article_measurement_of_the_east_west_asymmetry_of_the_cosmic_muon_fl,Measurement of the east-west asymmetry of the cosmic muon flux in Hanoi,Measurement of the east–west asymmetry of the cosmic muon flux in Hanoi,corrected,DOI 10.1016/j.nuclphysb.2003.11.035
2003_article_measurement_of_the_zenith_angle_distribution_of_the_cosmic_m,Measurement of the zenith angle distribution of the cosmic muon flux in Hanoi,Measurement of the zenith angle distribution of the cosmic muon flux in Hanoi,verified,DOI 10.1016/S0550-3213(03)00337-7
2004_article_cosmic_ray_muon_observation_at_southern_space_observatory_x2,"Cosmic Ray Muon Observation at Southern Space Observatory - SSO (29°S, 53°W)","Cosmic Ray Muon Observation at Southern Space Observatory—SSO (29°S, 53°W)",corrected,manual verification
2004_article_forbush_decreases_in_the_cosmic_radiation,FORBUSH DECREASES IN THE COSMIC RADIATION,Forbush Decreases in the Cosmic Radiation,corrected,manual verification
2004_article_john_wlley_sons_new_york_chichester_brisbane_toronto_singapo,Introductory nuclear physics,Introductory Nuclear Physics,corrected,manual verification
2004_article_nuclear_instruments_and_methods_in_physics_research_a_523_20,Properties and performance of the prototype instrument for the pierre auger observatory,Properties and performance of the prototype instrument for the Pierre Auger Observatory,corrected,DOI 10.1016/j.nima.2003.12.012
2004_book_john_wlley_sons_new_york_chichester_brisbane_toronto_singapo,Introductory nuclear physics,Introductory Nuclear Physics,corrected,manual verification
2005_article_a_large_area_muon_tracking_detector_for_ultra_high_energy_co,A large area muon tracking detector for ultra-high energy cosmic ray astrophysics-the GRAPES-3 experiment,A large area muon tracking detector for ultra-high energy cosmic ray astrophysics—the GRAPES-3 experiment,corrected,DOI 10.1016/j.nima.2005.02.020
2005_article_correlated_measurements_of_secondary_cosmic_ray_fluxes_by_th,Correlated measurements of secondary cosmic ray fluxes by the Aragats Space-Environmental Center monitors,Correlated measurements of secondary cosmic ray fluxes by the Aragats Space-Environmental Center monitors,verified,DOI 10.1016/j.nima.2004.12.021
2005_book_circuitos_microelectr_nicos,Circuitos microelectrónicos,Circuitos microelectrónicos,verified,manual verification
2005_book_physics_of_atoms_and_molecules,Physics of atoms and molecules,Physics of Atoms and Molecules,corrected,manual verification
2006_article_real_time_cosmic_ray_monitoring_system_for_space_weather,Real time cosmic ray monitoring system for space weather,Real‐time cosmic ray monitoring system for space weather,corrected,DOI 10.1029/2005SW000204
2006_article_the_charge_ratio_of_the_atmospheric_muons_at_low_energy,The charge ratio of the atmospheric muons at low energy,The charge ratio of the atmospheric muons at low energy,verified,DOI 10.1103/PhysRevD.74.082006
2006_book_and_methods_nonlinear_programming,Optimization theory and methods,Optimization Theory and Methods,corrected,manual verification
2007_article_a_study_of_vertical_cutoff_rigidities_using_sixth_degree_sim,A Study of Vertical Cutoff Rigidities Using Sixth Degree Simulations of the Geomagnetic Field,A study of vertical cutoff rigidities using sixth degree simulations of the geomagnetic field,corrected,https://doi.org/10.1029/jz070i017p04117
2007_article_investigations_of_a_thgem_based_imaging_detector,Investigations of a thgem based imaging detector,Investigations of a THGEM-based imaging detector,corrected,https://doi.org/10.1088/1748-0221/2/09/p09002
2007_article_using_rpc_detectors_as_cosmic_rays_monitor,Using RPC Detectors as Cosmic Rays Monitor,Using RPC Detectors as Cosmic Rays Monitor,verified,DOI 10.1109/TNS.2007.895505
2007_book_cosmic_rays_at_earth,Cosmic rays at earth,Cosmic Rays at Earth: Researcher's Reference Manual and Data Book,corrected,manual verification
2007_book_sakurai_modern_quantum_mechanics_djvu,Sakurai modern quantum mechanics,Modern Quantum Mechanics,corrected,manual verification
2007_book_statistical_mechanics_algorithms_and_computations_oxford_mas,Statistical mechanics: algorithms and computations (oxford master series in physics),Statistical Mechanics: Algorithms and Computations,corrected,manual verification
2008_article_first_spaceweather_observations_at_mustang_the_muon_spacewea,First Spaceweather Observations at MuSTAnG: The Muon Spaceweather Telescope for Anisotropies at Greifswald,First Space-Weather Observations at MuSTAnG: The Muon Spaceweather Telescope for Anisotropies at Greifswald,corrected,manual verification
2008_book_modern_optics,Modern optics,Modern Optics,corrected,manual verification
2008_book_solving_ordinary_differential,Solvingordinarydifferentialequ 1,Solving Ordinary Differential Equations I: Nonstiff Problems,corrected,manual verification
2009_article_ground_based_cosmic_ray_instrumentation_catalog,Ground-Based Cosmic-Ray Instrumentation Catalog,Ground-Based Cosmic-Ray Instrumentation Catalog,verified,manual verification
